1106,3873,None
3853,3873,None
9262,3873,None
5127,3873,None
3212,3873,None
8404,3873,2.0
5139,3873,None
3719,3873,None
6444,3873,None
8326,3873,None
5508,3873,None
6115,3873,None
8720,3873,None
5162,3873,None
4285,3873,None
9331,3873,None
6498,3873,None
5496,3873,None
3648,3873,None
3045,3873,None
1106,7142,None
3853,7142,None
9262,7142,None
5127,7142,None
3212,7142,None
8404,7142,None
5139,7142,None
3719,7142,None
6444,7142,None
8326,7142,None
5508,7142,None
6115,7142,None
8720,7142,None
5162,7142,None
4285,7142,None
9331,7142,None
6498,7142,None
5496,7142,None
3648,7142,None
3045,7142,None
1106,2872,None
3853,2872,None
9262,2872,None
5127,2872,10.0
3212,2872,None
8404,2872,None
5139,2872,5.0
3719,2872,None
6444,2872,None
8326,2872,None
5508,2872,None
6115,2872,2
8720,2872,None
5162,2872,None
4285,2872,None
9331,2872,None
6498,2872,None
5496,2872,None
3648,2872,None
3045,2872,None
1106,5523,None
3853,5523,None
9262,5523,None
5127,5523,None
3212,5523,None
8404,5523,None
5139,5523,None
3719,5523,None
6444,5523,None
8326,5523,None
5508,5523,None
6115,5523,None
8720,5523,None
5162,5523,None
4285,5523,None
9331,5523,None
6498,5523,None
5496,5523,None
3648,5523,None
3045,5523,None
1106,9153,None
3853,9153,None
9262,9153,None
5127,9153,None
3212,9153,None
8404,9153,None
5139,9153,None
3719,9153,None
6444,9153,1
8326,9153,None
5508,9153,None
6115,9153,6
8720,9153,None
5162,9153,None
4285,9153,None
9331,9153,None
6498,9153,None
5496,9153,None
3648,9153,None
3045,9153,None
1106,6836,None
3853,6836,None
9262,6836,None
5127,6836,None
3212,6836,None
8404,6836,None
5139,6836,None
3719,6836,10
6444,6836,None
8326,6836,None
5508,6836,None
6115,6836,None
8720,6836,None
5162,6836,None
4285,6836,None
9331,6836,None
6498,6836,None
5496,6836,None
3648,6836,None
3045,6836,None
1106,8187,None
3853,8187,None
9262,8187,None
5127,8187,None
3212,8187,None
8404,8187,None
5139,8187,None
3719,8187,None
6444,8187,1.0
8326,8187,None
5508,8187,None
6115,8187,None
8720,8187,None
5162,8187,None
4285,8187,None
9331,8187,None
6498,8187,None
5496,8187,None
3648,8187,None
3045,8187,None
1106,3603,None
3853,3603,None
9262,3603,None
5127,3603,None
3212,3603,None
8404,3603,None
5139,3603,None
3719,3603,None
